nombre_est,mediciones,contaminantes,desde,hasta,nombre_fgda,latitud,longitud
BASE AÉREA,15080,2,2020-01-07 12:00:00,2023-09-14 23:00:00,DAGMA,3.457128,-76.502303
CAÑAVERALEJO,5053,1,2020-01-01 00:00:00,2022-06-20 13:00:00,DAGMA,3.416366,-76.549613
COMPARTIR,7507,1,2020-01-01 00:00:00,2022-12-31 23:00:00,DAGMA,3.42826,-76.466584
ERA OBRERO,6939,1,2020-01-01 00:00:00,2022-10-25 23:00:00,DAGMA,3.457317,-76.506539
ESTACIÓN YUMBO,34372,3,2020-07-01 01:00:00,2024-12-31 23:00:00,CVC,3.579075,-76.489558
LA ERMITA,8627,1,2020-01-01 00:00:00,2022-10-25 23:00:00,DAGMA,3.455514,-76.530978
LA FLORA,10067,2,2020-01-01 00:00:00,2022-09-14 10:00:00,DAGMA,3.488218,-76.518058
PANCE,5861,1,2020-01-01 00:00:00,2022-10-27 23:00:00,DAGMA,3.304517,-76.531252
TRANSITORIA-NAVARRO,7435,2,2020-01-28 11:00:00,2020-12-07 08:00:00,DAGMA,3.417183,-76.49496
UNIVERSIDAD DEL VALLE,6350,1,2020-05-03 06:00:00,2023-04-14 08:00:00,DAGMA,3.377911,-76.533811
