fecha,estacion,valor,fuente
2020-11-01 00:00:00,YUMBO,10.76,parquet
2020-11-01 03:00:00,YUMBO,8.15,parquet
2020-11-01 04:00:00,YUMBO,12.64,parquet
2020-11-01 05:00:00,YUMBO,13.22,parquet
2020-11-01 06:00:00,YUMBO,14.89,parquet
2020-11-01 07:00:00,YUMBO,12.91,parquet
2020-11-01 08:00:00,YUMBO,8.58,parquet
2020-11-01 09:00:00,YUMBO,5.56,parquet
2020-11-01 10:00:00,YUMBO,4.3,parquet
2020-11-01 11:00:00,YUMBO,8.41,parquet
2020-11-01 12:00:00,YUMBO,9.53,parquet
2020-11-01 13:00:00,YUMBO,10.08,parquet
2020-11-01 14:00:00,YUMBO,14.09,parquet
2020-11-01 15:00:00,YUMBO,17.71,parquet
2020-11-01 16:00:00,YUMBO,20.02,parquet
2020-11-01 17:00:00,YUMBO,18.57,parquet
2020-11-01 19:00:00,YUMBO,3.1,parquet
2020-11-01 20:00:00,YUMBO,1.31,parquet
2020-11-01 21:00:00,YUMBO,2.22,parquet
2020-11-01 22:00:00,YUMBO,1.5,parquet
2020-11-01 23:00:00,YUMBO,1.48,parquet
2020-11-02 00:00:00,YUMBO,0.91,parquet
2020-11-02 01:00:00,YUMBO,0.36,parquet
2020-11-02 02:00:00,YUMBO,0.45,parquet
2020-11-02 03:00:00,YUMBO,0.5,parquet
2020-11-02 05:00:00,YUMBO,9.81,parquet
2020-11-02 06:00:00,YUMBO,12.01,parquet
2020-11-02 07:00:00,YUMBO,12.28,parquet
2020-11-02 08:00:00,YUMBO,10.84,parquet
2020-11-02 09:00:00,YUMBO,9.01,parquet
2020-11-02 10:00:00,YUMBO,6.47,parquet
2020-11-02 11:00:00,YUMBO,5.33,parquet
2020-11-02 12:00:00,YUMBO,10.31,parquet
2020-11-02 13:00:00,YUMBO,9.72,parquet
2020-11-02 15:00:00,YUMBO,6.29,parquet
2020-11-02 16:00:00,YUMBO,5.98,parquet
2020-11-02 17:00:00,YUMBO,6.16,parquet
2020-11-02 18:00:00,YUMBO,0.89,parquet
2020-11-02 22:00:00,YUMBO,0.1,parquet
2020-11-02 23:00:00,YUMBO,0.4,parquet
2020-11-03 00:00:00,YUMBO,0.52,parquet
2020-11-03 01:00:00,YUMBO,0.36,parquet
2020-11-03 04:00:00,YUMBO,6.72,parquet
2020-11-03 05:00:00,YUMBO,12.13,parquet
2020-11-03 06:00:00,YUMBO,10.78,parquet
2020-11-03 09:00:00,YUMBO,13.35,parquet
2020-11-03 10:00:00,YUMBO,15.82,parquet
2020-11-03 11:00:00,YUMBO,17.07,parquet
2020-11-03 12:00:00,YUMBO,22.59,parquet
2020-11-03 15:00:00,YUMBO,14.66,parquet
2020-11-03 16:00:00,YUMBO,9.46,parquet
2020-11-03 17:00:00,YUMBO,15.55,parquet
2020-11-03 19:00:00,YUMBO,0.86,parquet
2020-11-03 20:00:00,YUMBO,1.3,parquet
2020-11-03 21:00:00,YUMBO,0.66,parquet
2020-11-03 22:00:00,YUMBO,0.63,parquet
2020-11-03 23:00:00,YUMBO,0.29,parquet
2020-11-04 00:00:00,YUMBO,0.57,parquet
2020-11-04 01:00:00,YUMBO,0.27,parquet
2020-11-04 02:00:00,YUMBO,0.5,parquet
2020-11-04 04:00:00,YUMBO,10.68,parquet
2020-11-04 05:00:00,YUMBO,15.95,parquet
2020-11-04 06:00:00,YUMBO,15.25,parquet
2020-11-04 07:00:00,YUMBO,11.17,parquet
2020-11-04 08:00:00,YUMBO,9.01,parquet
2020-11-04 09:00:00,YUMBO,10.92,parquet
2020-11-04 10:00:00,YUMBO,10.75,parquet
2020-11-04 11:00:00,YUMBO,12.44,parquet
2020-11-04 13:00:00,YUMBO,15.98,parquet
2020-11-04 15:00:00,YUMBO,15.43,parquet
2020-11-04 16:00:00,YUMBO,15.47,parquet
2020-11-04 17:00:00,YUMBO,11.88,parquet
2020-11-04 19:00:00,YUMBO,0.42,parquet
2020-11-04 20:00:00,YUMBO,0.17,parquet
2020-11-04 21:00:00,YUMBO,0.96,parquet
2020-11-04 22:00:00,YUMBO,0.57,parquet
2020-11-04 23:00:00,YUMBO,0.82,parquet
2020-11-05 00:00:00,YUMBO,0.73,parquet
2020-11-05 01:00:00,YUMBO,0.59,parquet
2020-11-05 02:00:00,YUMBO,0.13,parquet
2020-11-05 03:00:00,YUMBO,1.97,parquet
2020-11-05 04:00:00,YUMBO,6.91,parquet
2020-11-05 05:00:00,YUMBO,8.19,parquet
2020-11-05 07:00:00,YUMBO,16.33,parquet
2020-11-05 08:00:00,YUMBO,14.93,parquet
2020-11-05 09:00:00,YUMBO,13.65,parquet
2020-11-05 10:00:00,YUMBO,13.26,parquet
2020-11-05 11:00:00,YUMBO,12.1,parquet
2020-11-05 12:00:00,YUMBO,17.88,parquet
2020-11-05 13:00:00,YUMBO,17.38,parquet
2020-11-05 14:00:00,YUMBO,11.74,parquet
2020-11-05 15:00:00,YUMBO,10.09,parquet
2020-11-05 16:00:00,YUMBO,5.3,parquet
2020-11-05 17:00:00,YUMBO,3.26,parquet
2020-11-05 18:00:00,YUMBO,2.35,parquet
2020-11-05 19:00:00,YUMBO,1.44,parquet
2020-11-05 20:00:00,YUMBO,0.84,parquet
2020-11-05 21:00:00,YUMBO,0.59,parquet
2020-11-05 22:00:00,YUMBO,0.48,parquet
2020-11-05 23:00:00,YUMBO,1.22,parquet
2020-11-06 00:00:00,YUMBO,1.55,parquet
2020-11-06 01:00:00,YUMBO,1.83,parquet
2020-11-06 02:00:00,YUMBO,1.03,parquet
2020-11-06 03:00:00,YUMBO,6.7,parquet
2020-11-06 05:00:00,YUMBO,17.99,parquet
2020-11-06 06:00:00,YUMBO,13.4,parquet
2020-11-06 07:00:00,YUMBO,17.22,parquet
2020-11-06 08:00:00,YUMBO,17.21,parquet
2020-11-06 09:00:00,YUMBO,16.6,parquet
2020-11-06 10:00:00,YUMBO,17.71,parquet
2020-11-06 11:00:00,YUMBO,16.06,parquet
2020-11-06 12:00:00,YUMBO,19.16,parquet
2020-11-06 14:00:00,YUMBO,23.77,parquet
2020-11-06 15:00:00,YUMBO,21.21,parquet
2020-11-06 17:00:00,YUMBO,19.37,parquet
2020-11-06 19:00:00,YUMBO,4.83,parquet
2020-11-06 20:00:00,YUMBO,2.5,parquet
2020-11-06 21:00:00,YUMBO,0.68,parquet
2020-11-06 22:00:00,YUMBO,1.72,parquet
2020-11-06 23:00:00,YUMBO,1.75,parquet
2020-11-07 00:00:00,YUMBO,1.79,parquet
2020-11-07 01:00:00,YUMBO,1.26,parquet
2020-11-07 02:00:00,YUMBO,1.81,parquet
2020-11-07 04:00:00,YUMBO,18.89,parquet
2020-11-07 08:00:00,YUMBO,14.58,parquet
2020-11-07 09:00:00,YUMBO,17.21,parquet
2020-11-07 10:00:00,YUMBO,16.33,parquet
2020-11-07 11:00:00,YUMBO,20.11,parquet
2020-11-07 15:00:00,YUMBO,16.19,parquet
2020-11-07 17:00:00,YUMBO,4.45,parquet
2020-11-07 18:00:00,YUMBO,3.96,parquet
2020-11-07 19:00:00,YUMBO,0.93,parquet
2020-11-07 20:00:00,YUMBO,0.32,parquet
2020-11-07 21:00:00,YUMBO,0.17,parquet
2020-11-07 22:00:00,YUMBO,0.66,parquet
2020-11-07 23:00:00,YUMBO,1.13,parquet
2020-11-08 00:00:00,YUMBO,1.19,parquet
2020-11-08 01:00:00,YUMBO,1.14,parquet
2020-11-08 02:00:00,YUMBO,2.86,parquet
2020-11-08 04:00:00,YUMBO,16.31,parquet
2020-11-08 05:00:00,YUMBO,15.39,parquet
2020-11-08 06:00:00,YUMBO,14.19,parquet
2020-11-08 07:00:00,YUMBO,12.71,parquet
2020-11-08 08:00:00,YUMBO,12.31,parquet
2020-11-08 09:00:00,YUMBO,11.85,parquet
2020-11-08 10:00:00,YUMBO,10.9,parquet
2020-11-08 13:00:00,YUMBO,20.67,parquet
2020-11-08 15:00:00,YUMBO,6.99,parquet
2020-11-08 16:00:00,YUMBO,3.52,parquet
2020-11-08 17:00:00,YUMBO,1.46,parquet
2020-11-08 18:00:00,YUMBO,0.16,parquet
2020-11-08 22:00:00,YUMBO,0.02,parquet
2020-11-08 23:00:00,YUMBO,0.23,parquet
2020-11-09 00:00:00,YUMBO,0.17,parquet
2020-11-09 01:00:00,YUMBO,0.02,parquet
2020-11-09 02:00:00,YUMBO,0.18,parquet
2020-11-09 03:00:00,YUMBO,0.68,parquet
2020-11-09 04:00:00,YUMBO,5.05,parquet
2020-11-09 06:00:00,YUMBO,6.37,parquet
2020-11-09 07:00:00,YUMBO,8.0,parquet
2020-11-09 08:00:00,YUMBO,5.25,parquet
2020-11-09 09:00:00,YUMBO,10.37,parquet
2020-11-09 10:00:00,YUMBO,10.98,parquet
2020-11-09 11:00:00,YUMBO,10.89,parquet
2020-11-09 12:00:00,YUMBO,11.98,parquet
2020-11-09 13:00:00,YUMBO,14.15,parquet
2020-11-09 14:00:00,YUMBO,18.56,parquet
2020-11-09 16:00:00,YUMBO,6.66,parquet
2020-11-09 17:00:00,YUMBO,4.4,parquet
2020-11-09 18:00:00,YUMBO,3.06,parquet
2020-11-09 19:00:00,YUMBO,3.28,parquet
2020-11-09 20:00:00,YUMBO,0.74,parquet
2020-11-09 21:00:00,YUMBO,0.63,parquet
2020-11-09 22:00:00,YUMBO,0.83,parquet
2020-11-09 23:00:00,YUMBO,0.52,parquet
2020-11-10 00:00:00,YUMBO,6.3,parquet
2020-11-10 02:00:00,YUMBO,13.59,parquet
2020-11-10 03:00:00,YUMBO,16.72,parquet
2020-11-10 04:00:00,YUMBO,12.83,parquet
2020-11-10 05:00:00,YUMBO,12.02,parquet
2020-11-10 06:00:00,YUMBO,10.79,parquet
2020-11-10 07:00:00,YUMBO,15.07,parquet
2020-11-10 08:00:00,YUMBO,14.53,parquet
2020-11-10 09:00:00,YUMBO,9.18,parquet
2020-11-10 10:00:00,YUMBO,11.97,parquet
2020-11-10 11:00:00,YUMBO,9.73,parquet
2020-11-10 12:00:00,YUMBO,11.66,parquet
2020-11-10 13:00:00,YUMBO,13.81,parquet
2020-11-10 14:00:00,YUMBO,9.71,parquet
2020-11-10 15:00:00,YUMBO,6.36,parquet
2020-11-10 16:00:00,YUMBO,11.24,parquet
2020-11-10 18:00:00,YUMBO,2.46,parquet
2020-11-10 19:00:00,YUMBO,2.8,parquet
2020-11-10 20:00:00,YUMBO,1.26,parquet
2020-11-10 21:00:00,YUMBO,0.78,parquet
2020-11-10 22:00:00,YUMBO,1.1,parquet
2020-11-10 23:00:00,YUMBO,2.65,parquet
2020-11-11 00:00:00,YUMBO,2.13,parquet
2020-11-11 01:00:00,YUMBO,6.89,parquet
2020-11-11 02:00:00,YUMBO,10.0,parquet
2020-11-11 03:00:00,YUMBO,10.2,parquet
