estacion_id,nombre_est,nombre_fgda,municipio,departamento,latitud,longitud,altitud
8285,BASE AÉREA,DAGMA,Santiago de Cali,Valle del Cauca,3.457128,-76.502303,956
30109,CAÑAVERALEJO,DAGMA,Santiago de Cali,Valle del Cauca,3.416366,-76.549613,975
30110,COMPARTIR,DAGMA,Santiago de Cali,Valle del Cauca,3.42826,-76.466584,952
30004,ERA OBRERO,DAGMA,Santiago de Cali,Valle del Cauca,3.457317,-76.506539,968
8777,ESTACIÓN YUMBO,CVC,Yumbo,Valle del Cauca,3.579075,-76.489558,950
30111,LA ERMITA,DAGMA,Santiago de Cali,Valle del Cauca,3.455514,-76.530978,994
8986,LA FLORA,DAGMA,Santiago de Cali,Valle del Cauca,3.488218,-76.518058,959
8288,PANCE,DAGMA,Santiago de Cali,Valle del Cauca,3.304517,-76.531252,978
26190,TRANSITORIA-NAVARRO,DAGMA,Santiago de Cali,Valle del Cauca,3.417183,-76.49496,954
8291,UNIVERSIDAD DEL VALLE,DAGMA,Santiago de Cali,Valle del Cauca,3.377911,-76.533811,985
