tile_id,clase,fecha_tile,anio,contaminante,ventana_dias,estacion_cercana,municipio_estacion,distancia_km,valor_dagma,dias_con_dato,horas_con_dato
0,contaminacion_alta_NO2,2023-08-29,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,20.927033267305863,,0,0
0,contaminacion_alta_NO2,2023-08-29,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,20.927033267305863,,0,0
0,contaminacion_alta_NO2,2023-08-29,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,20.927033267305863,,0,0
1,contaminacion_alta_NO2,2024-02-20,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,2.548689777502557,,0,0
1,contaminacion_alta_NO2,2024-02-20,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,2.548689777502557,,0,0
1,contaminacion_alta_NO2,2024-02-20,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,2.548689777502557,,0,0
2,contaminacion_alta_NO2,2021-09-03,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,24.44234257336019,,0,0
2,contaminacion_alta_NO2,2021-09-03,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,24.44234257336019,5.78,1,12
2,contaminacion_alta_NO2,2021-09-03,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,24.44234257336019,6.982500000000001,3,60
3,contaminacion_alta_NO2,2024-08-28,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,24.6192786518572,,0,0
3,contaminacion_alta_NO2,2024-08-28,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,24.6192786518572,,0,0
3,contaminacion_alta_NO2,2024-08-28,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,24.6192786518572,,0,0
4,contaminacion_alta_NO2,2023-08-29,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,10.269830254231683,,0,0
4,contaminacion_alta_NO2,2023-08-29,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,10.269830254231683,,0,0
4,contaminacion_alta_NO2,2023-08-29,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,10.269830254231683,,0,0
5,contaminacion_alta_NO2,2024-09-12,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,17.250298631419316,,0,0
5,contaminacion_alta_NO2,2024-09-12,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,17.250298631419316,,0,0
5,contaminacion_alta_NO2,2024-09-12,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,17.250298631419316,,0,0
6,contaminacion_alta_NO2,2024-11-06,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,18.170815645330528,,0,0
6,contaminacion_alta_NO2,2024-11-06,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,18.170815645330528,,0,0
6,contaminacion_alta_NO2,2024-11-06,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,18.170815645330528,,0,0
7,contaminacion_alta_NO2,2024-10-17,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,18.51258690169452,,0,0
7,contaminacion_alta_NO2,2024-10-17,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,18.51258690169452,,0,0
7,contaminacion_alta_NO2,2024-10-17,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,18.51258690169452,,0,0
8,contaminacion_alta_NO2,2023-01-26,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,23.52002238667832,,0,0
8,contaminacion_alta_NO2,2023-01-26,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,23.52002238667832,,0,0
8,contaminacion_alta_NO2,2023-01-26,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,23.52002238667832,,0,0
9,contaminacion_alta_NO2,2021-10-13,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,17.990042874824816,,0,0
9,contaminacion_alta_NO2,2021-10-13,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,17.990042874824816,,0,0
9,contaminacion_alta_NO2,2021-10-13,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,17.990042874824816,,0,0
10,contaminacion_alta_NO2,2024-10-17,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,20.871843554231038,,0,0
10,contaminacion_alta_NO2,2024-10-17,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,20.871843554231038,,0,0
10,contaminacion_alta_NO2,2024-10-17,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,20.871843554231038,,0,0
11,contaminacion_alta_NO2,2022-08-24,2022,NO2,0,ESTACIÓN YUMBO,Yumbo,13.785477816598945,,0,0
11,contaminacion_alta_NO2,2022-08-24,2022,NO2,1,ESTACIÓN YUMBO,Yumbo,13.785477816598945,,0,0
11,contaminacion_alta_NO2,2022-08-24,2022,NO2,3,ESTACIÓN YUMBO,Yumbo,13.785477816598945,,0,0
12,contaminacion_alta_NO2,2022-10-03,2022,NO2,0,ESTACIÓN YUMBO,Yumbo,17.861878100395042,,0,0
12,contaminacion_alta_NO2,2022-10-03,2022,NO2,1,ESTACIÓN YUMBO,Yumbo,17.861878100395042,,0,0
12,contaminacion_alta_NO2,2022-10-03,2022,NO2,3,ESTACIÓN YUMBO,Yumbo,17.861878100395042,,0,0
13,contaminacion_alta_NO2,2023-08-29,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,23.36927589772072,,0,0
13,contaminacion_alta_NO2,2023-08-29,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,23.36927589772072,,0,0
13,contaminacion_alta_NO2,2023-08-29,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,23.36927589772072,,0,0
14,contaminacion_alta_NO2,2024-10-02,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,2.0844893587810596,,0,0
14,contaminacion_alta_NO2,2024-10-02,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,2.0844893587810596,,0,0
14,contaminacion_alta_NO2,2024-10-02,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,2.0844893587810596,,0,0
15,contaminacion_alta_NO2,2024-03-16,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,10.504927652643463,,0,0
15,contaminacion_alta_NO2,2024-03-16,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,10.504927652643463,,0,0
15,contaminacion_alta_NO2,2024-03-16,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,10.504927652643463,,0,0
16,contaminacion_alta_NO2,2023-11-27,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,17.306673139434768,,0,0
16,contaminacion_alta_NO2,2023-11-27,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,17.306673139434768,,0,0
16,contaminacion_alta_NO2,2023-11-27,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,17.306673139434768,,0,0
17,contaminacion_alta_NO2,2023-06-20,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,2.028184089854361,,0,0
