variable,rango_min,rango_max,n_finite,n_fuera_rango,pct_fuera_rango,min_obs,max_obs
ndvi,-1.0,1.0,5000,0,0.0,-0.0033924202424536385,0.8814726768041957
ndbi,-1.0,1.0,5000,0,0.0,-0.47147280221245425,0.2737456019715445
scl_pct,0.0,1.0,5000,0,0.0,0.30126953125,1.0
no2,0.0,0.0003,1000,0,0.0,5.2797178796026856e-05,0.00019098490884061903
so2,-0.001,0.003,1000,3,0.003,0.00038742730976082385,0.0030928400810807943
o3,0.09,0.15,1000,0,0.0,0.1234719306230545,0.1318046897649765
era5_T2m,250.0,330.0,5000,0,0.0,291.964599609375,303.1817321777344
era5_Td2m,240.0,330.0,5000,0,0.0,288.56011962890625,298.4338073730469
era5_u10,-30.0,30.0,5000,0,0.0,-1.2956390380859375,2.041963815689087
era5_v10,-30.0,30.0,5000,0,0.0,-1.7702184915542603,0.9910156726837158
era5_BLH,0.0,4000.0,5000,0,0.0,158.142578125,1154.5648193359375
era5_RH850,0.0,100.0,5000,0,0.0,51.908485412597656,98.33665466308594
era5_psurf,50000.0,110000.0,5000,0,0.0,85093.546875,90980.296875
era5_precip,0.0,0.2,5000,131,0.0262,-1.862645149230957e-09,0.0043496256694197655
modis_AOD_047,0.0,2.0,767,0,0.0,0.0,0.734000027179718
modis_AOD_055,0.0,2.0,767,0,0.0,0.0,0.5360000133514404
modis_WV,0.0,8.0,4897,0,0.0,0.10000000149011612,5.328000068664551
tile_B1,0.0,12000.0,20480000,760,3.7109375e-05,0.0,13401.0
tile_B2,0.0,12000.0,20480000,889,4.3408203125e-05,0.0,22424.0
tile_B3,0.0,12000.0,20480000,608,2.96875e-05,0.0,20872.0
tile_B4,0.0,12000.0,20480000,542,2.646484375e-05,0.0,19336.0
tile_B5,0.0,12000.0,20480000,392,1.9140625e-05,0.0,17889.0
tile_B6,0.0,12000.0,20480000,348,1.69921875e-05,0.0,17538.0
tile_B7,0.0,12000.0,20480000,304,1.484375e-05,0.0,17283.0
tile_B8,0.0,12000.0,20480000,523,2.5537109375e-05,0.0,17736.0
tile_B8A,0.0,12000.0,20480000,356,1.73828125e-05,0.0,16906.0
tile_B9,0.0,12000.0,20480000,11746,0.00057353515625,0.0,16970.0
tile_B11,0.0,12000.0,20480000,874,4.267578125e-05,0.0,15523.0
tile_B12,0.0,12000.0,20480000,1995,9.7412109375e-05,0.0,15461.0
