time_s2,contaminacion_alta_NO2,contaminacion_alta_SO2,ozono_anomalo,vegetacion_densa,suelo_urbano
20210116T153621_20210116T154054_T18NUJ,2,1,0,20,18
20210131T153619_20210131T153618_T18NUJ,11,12,0,9,17
20210205T153621_20210205T154023_T18NUJ,8,2,0,6,14
20210501T153619_20210501T153854_T18NUJ,0,9,0,21,16
20210521T153619_20210521T153619_T18NUJ,0,11,0,11,14
20210705T153621_20210705T153621_T18NUJ,7,5,0,4,14
20210715T153621_20210715T153622_T18NUJ,14,10,0,15,16
20210720T153619_20210720T154204_T18NUJ,7,23,0,19,12
20210903T153621_20210903T154145_T18NUJ,31,2,2,7,16
20210913T153621_20210913T153620_T18NUJ,19,6,17,5,17
20211003T153621_20211003T153624_T18NUJ,1,24,1,17,11
20211008T153619_20211008T153619_T18NUJ,1,3,0,15,15
20211013T153621_20211013T153809_T18NUJ,16,3,0,12,13
20211018T153619_20211018T153620_T18NUJ,2,2,0,10,18
20211028T153619_20211028T153620_T18NUJ,16,8,0,5,17
20211102T153621_20211102T154014_T18NUJ,6,10,0,10,17
20211107T153619_20211107T153619_T18NUJ,8,27,0,12,17
20211127T153619_20211127T153730_T18NUJ,1,12,0,7,9
20211202T153621_20211202T154056_T18NUJ,3,5,0,13,19
20220116T153619_20220116T153730_T18NUJ,28,9,0,18,17
20220511T153621_20220511T154121_T18NUJ,21,27,0,16,23
20220730T153631_20220730T154107_T18NUJ,0,0,10,0,0
20220814T153619_20220814T153828_T18NUJ,0,0,26,0,0
20220824T153619_20220824T153619_T18NUJ,19,16,77,13,19
20220908T153631_20220908T153735_T18NUJ,23,9,60,8,13
20220913T153619_20220913T153809_T18NUJ,0,0,21,0,0
20220923T153619_20220923T153620_T18NUJ,25,43,71,21,11
20221003T153619_20221003T153617_T18NUJ,23,20,60,9,24
20221018T153621_20221018T153957_T18NUJ,0,0,17,0,0
20230126T153621_20230126T153616_T18NUJ,18,15,0,12,16
20230205T153621_20230205T153618_T18NUJ,16,19,0,12,11
20230620T153619_20230620T153915_T18NUJ,19,40,0,17,21
20230720T153629_20230720T153804_T18NUJ,17,83,0,26,17
20230804T153621_20230804T153815_T18NUJ,0,0,2,0,0
20230819T153629_20230819T153927_T18NUJ,0,0,4,0,0
20230829T153619_20230829T153712_T18NUJ,69,62,44,17,9
20230913T153621_20230913T153622_T18NUJ,28,20,47,19,11
20230923T153621_20230923T153710_T18NUJ,0,0,16,0,0
20231127T153619_20231127T153621_T18NUJ,24,23,0,18,12
20240106T153629_20240106T153624_T18NUJ,6,26,0,21,11
20240126T153629_20240126T153623_T18NUJ,14,10,0,12,19
20240131T153621_20240131T153643_T18NUJ,13,19,0,10,16
20240215T153629_20240215T153626_T18NUJ,20,13,0,22,18
20240220T153621_20240220T153623_T18NUJ,6,9,0,17,10
20240225T153629_20240225T153805_T18NUJ,5,17,0,9,15
20240316T153629_20240316T153623_T18NUJ,28,22,0,11,19
20240410T153631_20240410T153706_T18NUJ,12,23,0,14,16
20240430T153631_20240430T153628_T18NUJ,0,0,0,16,15
20240629T153631_20240629T153628_T18NUJ,0,0,1,0,0
20240714T153629_20240714T153628_T18NUJ,0,0,40,0,0
20240719T153631_20240719T154010_T18NUJ,15,39,24,17,13
20240729T153631_20240729T153708_T18NUJ,13,36,31,40,12
20240729T153631_20240729T153708_T18NUK,0,0,3,0,0
20240818T153631_20240818T153625_T18NUJ,33,58,74,20,15
20240818T153631_20240818T153625_T18NUK,0,0,4,0,0
20240823T153629_20240823T154105_T18NUJ,0,1,31,12,8
20240828T153621_20240828T154039_T18NUJ,35,12,44,15,14
20240902T153629_20240902T153628_T18NUJ,16,13,46,14,6
20240912T153629_20240912T153626_T18NUJ,34,17,53,5,16
20240917T153631_20240917T154016_T18NUJ,35,17,60,25,16
20241002T153629_20241002T153644_T18NUJ,51,26,60,15,16
20241012T153629_20241012T154017_T18NUJ,7,6,31,14,21
20241017T153631_20241017T153625_T18NUJ,55,19,15,19,18
20241106T153621_20241106T153639_T18NUJ,11,8,0,23,12
20241201T153629_20241201T153626_T18NUJ,5,7,0,16,13
20250120T153629_20250120T153947_T18NUJ,9,17,0,13,21
20250130T153629_20250130T153627_T18NUJ,13,2,0,10,17
20250405T153651_20250405T154155_T18NUJ,2,1,0,19,17
20250415T153651_20250415T153751_T18NUJ,5,0,0,18,13
20250510T153629_20250510T153626_T18NUJ,7,6,0,25,12
20250520T153629_20250520T154201_T18NUJ,11,4,0,13,13
20250704T153651_20250704T153756_T18NUJ,2,4,0,11,8
20250724T153651_20250724T153702_T18NUJ,5,0,0,19,29
20250902T153641_20250902T153643_T18NUJ,0,0,6,0,0
20250912T153641_20250912T154033_T18NUJ,0,0,2,0,0
20250922T153641_20250922T153639_T18NUJ,14,0,0,17,18
20251121T153631_20251121T153648_T18NUJ,14,2,0,22,20
20251201T153631_20251201T153633_T18NUJ,5,4,0,24,11
20251231T153631_20251231T153632_T18NUJ,16,1,0,18,8
