variable,n,n_finite,n_nan,n_inf,pct_finite,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,n_zero,n_negative,n_outlier_iqr
B1,20480000,20480000,0,0,1.0,840.9862060546875,782.582763671875,0.0,172.0,252.0,397.0,608.0,1093.0,1855.0,4356.0,13401.0,23953,0,751898
B2,20480000,20480000,0,0,1.0,901.7785034179688,855.9758911132812,0.0,177.0,270.0,431.0,636.0,1078.0,2310.0,4684.0,22424.0,26021,0,1319574
B3,20480000,20480000,0,0,1.0,1081.305419921875,804.125732421875,0.0,312.0,464.0,654.0,844.0,1232.0,2416.0,4660.0,20872.0,23026,0,1403054
B4,20480000,20480000,0,0,1.0,1019.1798095703125,866.8278198242188,0.0,178.0,270.0,460.0,757.0,1330.0,2476.0,4604.0,19336.0,24045,0,878611
B5,20480000,20480000,0,0,1.0,1394.17822265625,784.7518920898438,0.0,392.0,696.0,943.0,1208.0,1619.0,2608.0,4759.0,17889.0,22015,0,994566
B6,20480000,20480000,0,0,1.0,2333.210693359375,746.4908447265625,0.0,678.0,1325.0,1910.0,2301.0,2673.0,3357.0,5007.0,17538.0,22189,0,814514
B7,20480000,20480000,0,0,1.0,2732.171630859375,895.2733764648438,0.0,772.0,1465.0,2115.0,2684.0,3261.0,4167.0,5241.0,17283.0,22043,0,309096
B8,20480000,20480000,0,0,1.0,2691.014892578125,923.4526977539062,0.0,676.0,1350.0,2038.0,2662.0,3260.0,4156.0,5176.0,17736.0,21930,0,248168
B8A,20480000,20480000,0,0,1.0,2938.78515625,951.823486328125,0.0,764.0,1557.0,2263.0,2911.0,3536.0,4459.0,5415.0,16906.0,21891,0,240539
B9,20480000,20480000,0,0,1.0,2913.738037109375,1023.6087036132812,0.0,752.0,1653.0,2242.0,2854.0,3432.0,4337.0,6392.0,16970.0,21947,0,455265
B11,20480000,20480000,0,0,1.0,2218.6796875,817.141357421875,0.0,447.0,1238.0,1679.0,2114.0,2649.0,3538.0,4942.0,15523.0,21711,0,503870
B12,20480000,20480000,0,0,1.0,1614.1800537109375,958.8365478515625,0.0,258.0,562.0,863.0,1375.0,2215.0,3256.0,4581.0,15461.0,21715,0,286728
SCL,20480000,20480000,0,0,1.0,4.587405681610107,1.1248234510421753,0.0,3.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,21711,0,1360143
