clase,banda,n,n_finite,n_nan,n_inf,pct_finite,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,n_zero,n_negative,n_outlier_iqr
contaminacion_alta_NO2,B1,4096000,4096000,0,0,1.0,954.9708862304688,771.51318359375,0.0,228.0,320.0,514.0,795.0,1180.0,1915.0,4373.0,12203.0,1088,0,154690
contaminacion_alta_NO2,B2,4096000,4096000,0,0,1.0,1020.2476196289062,865.8849487304688,0.0,216.0,331.0,525.0,782.0,1204.0,2484.0,4740.0,22424.0,1278,0,260887
contaminacion_alta_NO2,B3,4096000,4096000,0,0,1.0,1190.1636962890625,823.3497314453125,0.0,382.0,522.0,733.0,968.0,1352.0,2602.0,4760.0,20872.0,1098,0,277646
contaminacion_alta_NO2,B4,4096000,4096000,0,0,1.0,1171.095947265625,883.5154418945312,0.0,230.0,339.0,583.0,968.0,1480.0,2678.0,4760.0,19336.0,1136,0,178868
contaminacion_alta_NO2,B5,4096000,4096000,0,0,1.0,1517.220703125,794.775634765625,0.0,524.0,774.0,1057.0,1345.0,1743.0,2766.0,4888.0,17029.0,1098,0,204503
contaminacion_alta_NO2,B6,4096000,4096000,0,0,1.0,2250.648193359375,734.3298950195312,0.0,737.0,1349.0,1837.0,2185.0,2547.0,3281.0,5019.0099999997765,16693.0,1106,0,180021
contaminacion_alta_NO2,B7,4096000,4096000,0,0,1.0,2560.587646484375,837.3657836914062,0.0,812.0,1475.0,2013.0,2464.0,2992.0,3957.0,5124.0,16348.0,1104,0,103710
contaminacion_alta_NO2,B8,4096000,4096000,0,0,1.0,2511.34228515625,868.91455078125,0.0,696.0,1348.0,1920.0,2428.0,2990.0,3952.0,5048.0,17736.0,1100,0,76092
contaminacion_alta_NO2,B8A,4096000,4096000,0,0,1.0,2740.672119140625,884.366943359375,0.0,789.0,1560.0,2144.0,2651.0,3239.0,4217.0,5257.0,13643.0,1110,0,81992
contaminacion_alta_NO2,B9,4096000,4096000,0,0,1.0,2718.3935546875,965.5831909179688,0.0,836.0,1672.0,2150.0,2581.0,3124.0,4089.0,6193.0,15697.0,1088,0,129565
contaminacion_alta_NO2,B11,4096000,4096000,0,0,1.0,2346.73291015625,803.384033203125,0.0,510.0,1325.0,1837.0,2280.0,2756.0,3601.0,5084.0,15004.0,1088,0,131064
contaminacion_alta_NO2,B12,4096000,4096000,0,0,1.0,1809.9107666015625,948.2865600585938,0.0,316.0,626.0,1078.0,1664.0,2412.0,3347.0,4746.0,15461.0,1088,0,56661
contaminacion_alta_NO2,SCL,4096000,4096000,0,0,1.0,4.713119983673096,1.0679196119308472,0.0,3.0,4.0,4.0,5.0,5.0,7.0,9.0,10.0,1088,0,259021
contaminacion_alta_SO2,B1,4096000,4096000,0,0,1.0,688.404296875,709.9532470703125,0.0,164.0,233.0,350.0,488.0,751.0,1643.0,4045.0,11886.0,5060,0,327412
contaminacion_alta_SO2,B2,4096000,4096000,0,0,1.0,755.5845947265625,757.3052368164062,0.0,179.0,257.0,392.0,538.0,817.0,1926.0,4340.0,19880.0,5928,0,344644
contaminacion_alta_SO2,B3,4096000,4096000,0,0,1.0,952.5592041015625,711.6459350585938,0.0,302.0,445.0,617.0,759.0,1020.0,2046.0,4316.0,18496.0,4175,0,336382
contaminacion_alta_SO2,B4,4096000,4096000,0,0,1.0,863.8935546875,766.2096557617188,0.0,176.0,256.0,418.0,623.0,1060.0,2106.0,4224.0,17656.0,4555,0,227315
contaminacion_alta_SO2,B5,4096000,4096000,0,0,1.0,1265.268310546875,717.0266723632812,0.0,396.0,667.0,881.0,1086.0,1424.0,2354.0,4468.0,17150.0,4160,0,244960
contaminacion_alta_SO2,B6,4096000,4096000,0,0,1.0,2377.547607421875,717.2744750976562,0.0,704.0,1323.0,2006.0,2365.0,2696.0,3326.0,4940.0,16751.0,4160,0,202966
contaminacion_alta_SO2,B7,4096000,4096000,0,0,1.0,2858.61962890625,877.6614379882812,0.0,809.0,1495.0,2302.0,2850.0,3367.0,4220.0,5319.0,16522.0,4160,0,87370
contaminacion_alta_SO2,B8,4096000,4096000,0,0,1.0,2823.66650390625,894.3094482421875,0.0,706.0,1398.0,2252.0,2832.0,3364.0,4196.0,5220.0,17144.0,4160,0,76389
contaminacion_alta_SO2,B8A,4096000,4096000,0,0,1.0,3085.6416015625,927.512451171875,0.0,811.0,1600.0,2497.0,3102.0,3650.0,4511.0,5502.0,16247.0,4160,0,82758
contaminacion_alta_SO2,B9,4096000,4096000,0,0,1.0,3058.03955078125,983.4725341796875,0.0,796.0,1673.0,2487.0,3053.0,3544.0,4381.0,6239.0099999997765,16498.0,4160,0,132470
contaminacion_alta_SO2,B11,4096000,4096000,0,0,1.0,2105.998046875,786.4848022460938,0.0,465.0,1216.0,1593.0,1961.0,2491.0,3488.0,4751.0,15274.0,4160,0,131024
contaminacion_alta_SO2,B12,4096000,4096000,0,0,1.0,1400.509521484375,842.0848999023438,0.0,260.0,541.0,781.0,1152.0,1828.0,2983.0,4107.0,15329.0,4160,0,94903
contaminacion_alta_SO2,SCL,4096000,4096000,0,0,1.0,4.460183620452881,1.1019489765167236,0.0,3.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4160,0,269201
ozono_anomalo,B1,4096000,4096000,0,0,1.0,736.910888671875,762.1471557617188,0.0,174.0,246.0,372.0,522.0,811.0,1832.0,4278.0,13401.0,4102,0,315238
ozono_anomalo,B2,4096000,4096000,0,0,1.0,794.3246459960938,801.3533935546875,0.0,168.0,252.0,414.0,574.0,866.0,2030.0,4540.0,20680.0,4369,0,337709
ozono_anomalo,B3,4096000,4096000,0,0,1.0,988.2417602539062,739.8241577148438,0.0,308.0,446.0,642.0,796.0,1064.0,2108.0,4448.0,19272.0,4138,0,334248
