variable,n,n_finite,n_nan,n_inf,pct_finite,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,n_zero,n_negative,n_outlier_iqr
lat,5000,5000,0,0,1.0,3.4584963806111233,0.08158698963143558,3.3029256366508193,3.3049010319605974,3.3231332389670785,3.4046823004594104,3.4545163408459176,3.5210590455170396,3.595331753208007,3.6142817141264993,3.645632917542256,0,0,0
lon,5000,5000,0,0,1.0,-76.4724333298343,0.07920615281734082,-76.64551768247527,-76.64021762229889,-76.60060191826865,-76.52280781466278,-76.48983964373512,-76.42013037768645,-76.3271457626259,-76.31026462180648,-76.30290023310717,0,5000,0
ndvi,5000,5000,0,0,1.0,0.4668663634780489,0.2244618990864222,-0.0033924202424536385,0.07092758986082869,0.1189916509181326,0.2492646317243058,0.5150998299618262,0.66267582010398,0.7727449404092365,0.8284759096742383,0.8814726768041957,0,1,0
ndbi,5000,5000,0,0,1.0,-0.09357617194057424,0.16155630024536555,-0.47147280221245425,-0.3915558689301462,-0.3373372436234848,-0.23335877841805752,-0.10237177002854525,0.0575505955741479,0.14467907822113082,0.17490848822088506,0.2737456019715445,0,3222,0
scl_pct,5000,5000,0,0,1.0,0.91441806640625,0.16381623459172406,0.30126953125,0.3369091796875,0.50048828125,0.91796875,1.0,1.0,1.0,1.0,1.0,0,0,824
no2,5000,1000,4000,0,0.2,7.353559537659749e-05,2.1020285586140638e-05,5.2797178796026856e-05,5.297587889799616e-05,5.3794092309544794e-05,5.853683251189068e-05,6.798705726396292e-05,8.032423647819087e-05,0.00011094272012996947,0.00015422507291077632,0.00019098490884061903,0,0,45
so2,5000,1000,4000,0,0.2,0.000592164286179468,0.0002565750616463127,0.00038742730976082385,0.0003887699532788247,0.00039658826135564597,0.0004429499967955053,0.0005255985597614199,0.0006421502330340445,0.0009778484178241341,0.001497762460494414,0.0030928400810807943,0,0,61
o3,5000,1000,4000,0,0.2,0.12666991544514894,0.0018836366844697289,0.1234719306230545,0.1235009702295065,0.1237872987985611,0.12502491660416126,0.12676763534545898,0.12808668985962868,0.1296437166631222,0.1305779941380024,0.1318046897649765,0,0,0
era5_T2m,5000,5000,0,0,1.0,297.7787397399902,2.0655930298871383,291.964599609375,292.493896484375,294.8803405761719,296.3089599609375,297.69244384765625,299.2322082519531,301.3529357910156,301.96307373046875,303.1817321777344,0,0,0
era5_Td2m,5000,5000,0,0,1.0,292.4868611999512,1.5108848824431367,288.56011962890625,289.4600524902344,290.27606201171875,291.37030029296875,292.3161315917969,293.48992919921875,295.08392333984375,296.30487060546875,298.4338073730469,0,0,32
era5_u10,5000,5000,0,0,1.0,0.3408606451153755,0.7713142476521034,-1.2956390380859375,-1.2956390380859375,-0.9187469482421875,-0.2601020336151123,0.4310561418533325,0.9013705253601074,1.5672264099121094,1.8606865406036377,2.041963815689087,0,1744,0
era5_v10,5000,5000,0,0,1.0,-0.9217740531682969,0.46748772444142184,-1.7702184915542603,-1.7344653606414795,-1.6087253093719482,-1.1925201416015625,-0.9829144477844238,-0.6864387691020966,-0.0992431640625,0.6161346435546875,0.9910156726837158,0,4857,143
era5_BLH,5000,5000,0,0,1.0,710.0084991638183,136.4282283869585,158.142578125,273.70068359375,484.082275390625,641.394287109375,716.216552734375,781.51904296875,932.0587158203125,1056.4071997070344,1154.5648193359375,0,0,279
era5_RH850,5000,5000,0,0,1.0,87.41325393218995,6.879547597926857,51.908485412597656,59.23899841308594,76.43399047851562,83.5362548828125,88.74761962890625,92.231201171875,95.25951385498047,96.23123168945312,98.33665466308594,0,0,155
era5_psurf,5000,5000,0,0,1.0,87409.3031859375,2094.464928942846,85093.546875,85140.3125,85216.1015625,85366.46875,86027.65625,89501.359375,90670.9296875,90857.96875,90980.296875,0,0,0
era5_precip,5000,5000,0,0,1.0,0.00028549269884824754,0.0006802098961725024,-1.862645149230957e-09,-9.313225746154785e-10,0.0,0.0,4.8053450882434845e-05,0.00023443438112735748,0.0017803646624088287,0.0032958984375,0.0043496256694197655,1198,131,512
modis_AOD_047,5000,767,4233,0,0.1534,0.316928943735092,0.1317460758132443,0.0,0.014579999614506962,0.11014999970793725,0.22350000590085983,0.30649998784065247,0.408500000834465,0.5473999857902525,0.6011000108718877,0.734000027179718,5,0,1
modis_AOD_055,5000,767,4233,0,0.1534,0.2293939593948079,0.09635932058672228,0.0,0.00994000024162233,0.07930000200867654,0.16099999845027924,0.22200000286102295,0.296999990940094,0.3977000057697295,0.43874000489711795,0.5360000133514404,5,0,1
modis_WV,5000,4897,103,0,0.9794,1.78736655103727,1.161835317050994,0.10000000149011612,0.10000000149011612,0.21580000519752504,0.7574999928474426,1.7354999780654907,2.674499988555908,3.7961000442504877,4.312319812774658,5.328000068664551,0,0,0
