clase_vs_so2,variable,ks_stat,p_value,so2_mean,other_mean,delta_mean
contaminacion_alta_NO2,era5_v10,0.10434782608695652,0.1635204486578329,-0.8141554123681525,-0.8532854453377102,0.03913003296955775
contaminacion_alta_NO2,modis_WV,0.10869565217391304,0.13213159182574966,2.9394113801095796,2.906099973295046,0.033311406814533484
contaminacion_alta_NO2,o3,0.11068919688627302,0.1102870478819577,0.11829372615269992,0.11784830383598544,0.00044542231671448884
contaminacion_alta_NO2,era5_RH850,0.12173913043478261,0.06609935511371211,85.89031060260275,87.63945611041525,-1.7491455078125
contaminacion_alta_NO2,era5_BLH,0.13043478260869565,0.03985498765810864,679.0353250254756,693.0745452880859,-14.039220262610343
contaminacion_alta_NO2,scl_pct,0.1391304347826087,0.02319670942536109,0.899393894361413,0.8526537024456522,0.04674019191576084
contaminacion_alta_NO2,era5_u10,0.16956521739130434,0.0026389052317769756,0.22639698736045671,0.3098130621339964,-0.08341607477353968
contaminacion_alta_NO2,modis_AOD_047,0.19046845822846473,0.0005169278931916718,0.2692374843090311,0.317434418331319,-0.04819693402228792
contaminacion_alta_NO2,modis_AOD_055,0.19046845822846473,0.0005169278931916718,0.19479131885697093,0.2298581498000053,-0.035066830943034366
contaminacion_alta_NO2,ndvi,0.30869565217391304,4.434957896499516e-10,0.6123564367708952,0.49416379029660124,0.118192646474294
contaminacion_alta_NO2,ndbi,0.30869565217391304,4.434957896499516e-10,-0.20097382464243665,-0.13039157994536926,-0.07058224469706739
contaminacion_alta_NO2,so2,0.8304347826086956,1.1882499625161408e-80,0.00039030523039400576,5.147064988774297e-05,0.0003388345805062628
contaminacion_alta_NO2,no2,1.0,5.910054016803534e-136,1.524569118070455e-05,3.84978075089748e-05,-2.3252116328270252e-05
ozono_anomalo,era5_BLH,0.10434782608695652,0.1635204486578329,679.0353250254756,662.6765964673913,16.358728558084294
ozono_anomalo,modis_AOD_047,0.11747353808780149,0.09336763290530183,0.2692374843090311,0.3064927920224328,-0.037255307713401686
ozono_anomalo,modis_AOD_055,0.11747353808780149,0.09336763290530183,0.19479131885697093,0.22199523818733938,-0.027203919330368448
ozono_anomalo,era5_u10,0.16521739130434782,0.0036972161735005235,0.22639698736045671,0.3652325407318447,-0.13883555337138798
ozono_anomalo,ndbi,0.18695652173913044,0.0006262760594697106,-0.20097382464243665,-0.154699147099872,-0.046274677542564646
ozono_anomalo,scl_pct,0.18695652173913044,0.0006262760594697106,0.899393894361413,0.8387663468070652,0.06062754755434785
